Book-Title,Book-Author,Year-Of-Publication,Book-Rating,Image-URL-L
False Memory,Dean R. Koontz,1999,10,http://images.amazon.com/images/P/055310666X.01.LZZZZZZZ.jpg
Bridget Jones's Diary,Helen Fielding,1997,5,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
Whirlwind (The X-Files),Charles Grant,1995,0,http://images.amazon.com/images/P/0061054151.01.LZZZZZZZ.jpg
Speaking in Tongues,Jeffery Deaver,2002,0,http://images.amazon.com/images/P/0671024108.01.LZZZZZZZ.jpg
Walk Two Moons,Sharon Creech,1996,0,http://images.amazon.com/images/P/0064405176.01.LZZZZZZZ.jpg
A Wrinkle In Time,MADELEINE L'ENGLE,1998,8,http://images.amazon.com/images/P/0440498058.01.LZZZZZZZ.jpg
The Boy Next Door,Meggin Cabot,2002,10,http://images.amazon.com/images/P/0060096195.01.LZZZZZZZ.jpg
"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,10,http://images.amazon.com/images/P/0786817070.01.LZZZZZZZ.jpg
Move to Strike,Perri O'Shaughnessy,2001,9,http://images.amazon.com/images/P/0440225825.01.LZZZZZZZ.jpg
The Last Time They Met : A Novel,Anita Shreve,2002,0,http://images.amazon.com/images/P/0316781266.01.LZZZZZZZ.jpg
Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,5,http://images.amazon.com/images/P/0345446860.01.LZZZZZZZ.jpg
The Second Summer of the Sisterhood,ANN BRASHARES,2003,0,http://images.amazon.com/images/P/0385729340.01.LZZZZZZZ.jpg
Along Came a Spider (Alex Cross Novels),James Patterson,1993,0,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
Alaska,James A. Michener,1994,7,http://images.amazon.com/images/P/0449217264.01.LZZZZZZZ.jpg
A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,0,http://images.amazon.com/images/P/0345423402.01.LZZZZZZZ.jpg
Childhood's End,Clarke C.,1976,0,http://images.amazon.com/images/P/0345249372.01.LZZZZZZZ.jpg
One,Richard Bach,1989,0,http://images.amazon.com/images/P/044020562X.01.LZZZZZZZ.jpg
Toxin,Robin Cook,1999,8,http://images.amazon.com/images/P/0425167097.01.LZZZZZZZ.jpg
Whispers,Dean R. Koontz,2001,8,http://images.amazon.com/images/P/042518109X.01.LZZZZZZZ.jpg
How To Win Friends And Influence People,Dale Carnegie,1990,0,http://images.amazon.com/images/P/0671723650.01.LZZZZZZZ.jpg
Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,9,http://images.amazon.com/images/P/0812533550.01.LZZZZZZZ.jpg
The Jester,James Patterson,2004,0,http://images.amazon.com/images/P/0446613843.01.LZZZZZZZ.jpg
The King of Torts,JOHN GRISHAM,2003,10,http://images.amazon.com/images/P/0440241537.01.LZZZZZZZ.jpg
Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,10,http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg
Matilda,Roald Dahl,1990,0,http://images.amazon.com/images/P/0140327592.01.LZZZZZZZ.jpg
The Lovely Bones: A Novel,Alice Sebold,2002,0,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,0,http://images.amazon.com/images/P/0345391810.01.LZZZZZZZ.jpg
The Da Vinci Code,Dan Brown,2003,8,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,0,http://images.amazon.com/images/P/0679745580.01.LZZZZZZZ.jpg
The Joy Luck Club,Amy Tan,1994,0,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
Wild Animus,Rich Shapero,2004,0,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
Charlotte's Web,E. B. White,1974,5,http://images.amazon.com/images/P/059030271X.01.LZZZZZZZ.jpg
"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,0,http://images.amazon.com/images/P/0060964049.01.LZZZZZZZ.jpg
Coraline,Neil Gaiman,2003,0,http://images.amazon.com/images/P/0380807343.01.LZZZZZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,0,http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg
Lost Light,Michael Connelly,2003,0,http://images.amazon.com/images/P/0316154601.01.LZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,0,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
To Kill a Mockingbird,Harper Lee,1988,10,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,6,http://images.amazon.com/images/P/0312966970.01.LZZZZZZZ.jpg
The Terminal Man,Michael Crichton,1988,10,http://images.amazon.com/images/P/0345354621.01.LZZZZZZZ.jpg
Southern Cross,Patricia Daniels Cornwell,1999,0,http://images.amazon.com/images/P/0425172546.01.LZZZZZZZ.jpg
The Chamber,John Grisham,1995,9,http://images.amazon.com/images/P/0440220602.01.LZZZZZZZ.jpg
Trial by Fire,Nancy Taylor Rosenberg,1996,0,http://images.amazon.com/images/P/0451180054.01.LZZZZZZZ.jpg
Kushiel's Dart,Jacqueline Carey,2002,0,http://images.amazon.com/images/P/0765342987.01.LZZZZZZZ.jpg
"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,10,http://images.amazon.com/images/P/0812550307.01.LZZZZZZZ.jpg
Tailchaser's Song,Tad Williams,1994,7,http://images.amazon.com/images/P/0886773741.01.LZZZZZZZ.jpg
The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,10,http://images.amazon.com/images/P/0060930187.01.LZZZZZZZ.jpg
The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,10,http://images.amazon.com/images/P/0375760911.01.LZZZZZZZ.jpg
Go Ask Alice,Anonymous,1998,10,http://images.amazon.com/images/P/0689817851.01.LZZZZZZZ.jpg
Dreamcatcher,Dinah McCall,1996,7,http://images.amazon.com/images/P/0061083259.01.LZZZZZZZ.jpg
Legend,Sharon Sala,1998,7,http://images.amazon.com/images/P/0061087017.01.LZZZZZZZ.jpg
Power of a Woman,Barbara Taylor Bradford,1998,8,http://images.amazon.com/images/P/0061094404.01.LZZZZZZZ.jpg
All Around the Town,Mary Higgins Clark,1993,8,http://images.amazon.com/images/P/0671793489.01.LZZZZZZZ.jpg
Winter Solstice,Rosamunde Pilcher,2000,0,http://images.amazon.com/images/P/0312244266.01.LZZZZZZZ.jpg
MÃ?ÃÂ¶rder ohne Gesicht.,Henning Mankell,1999,6,http://images.amazon.com/images/P/3423202327.01.LZZZZZZZ.jpg
Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,7,http://images.amazon.com/images/P/3492045170.01.LZZZZZZZ.jpg
Deja Dead,Kathy Reichs,1998,0,http://images.amazon.com/images/P/0671011367.01.LZZZZZZZ.jpg
I Never Promised You a Rose Garden,Joanne Greenberg,1977,7,http://images.amazon.com/images/P/0451097009.01.LZZZZZZZ.jpg
Kane &amp; Abel,Jeffrey Archer,1993,8,http://images.amazon.com/images/P/0061007129.01.LZZZZZZZ.jpg
Dance Hall of the Dead (Joe Leaphorn Novels),Tony Hillerman,1990,0,http://images.amazon.com/images/P/0061000027.01.LZZZZZZZ.jpg
"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,9,http://images.amazon.com/images/P/0812511816.01.LZZZZZZZ.jpg
"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990,9,http://images.amazon.com/images/P/0880381736.01.LZZZZZZZ.jpg
The Scandalous Summer of Sissy LeBlanc : A Novel,Loraine Despres,2002,0,http://images.amazon.com/images/P/0060505885.01.LZZZZZZZ.jpg
The Saving Graces: A Novel,Patricia Gaffney,2000,0,http://images.amazon.com/images/P/0061097101.01.LZZZZZZZ.jpg
Running with Scissors,Augusten Burroughs,2002,8,http://images.amazon.com/images/P/0312283709.01.LZZZZZZZ.jpg
Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,0,http://images.amazon.com/images/P/0312983271.01.LZZZZZZZ.jpg
Mystic River,Dennis Lehane,2002,0,http://images.amazon.com/images/P/0380731851.01.LZZZZZZZ.jpg
Roses Are Red (Alex Cross Novels),James Patterson,2001,7,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
Violets Are Blue,James Patterson,2002,8,http://images.amazon.com/images/P/0446611212.01.LZZZZZZZ.jpg
The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,0,http://images.amazon.com/images/P/0451188454.01.LZZZZZZZ.jpg
The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,9,http://images.amazon.com/images/P/0609804138.01.LZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,0,http://images.amazon.com/images/P/0671003755.01.LZZZZZZZ.jpg
The First Time,Joy Fielding,2001,0,http://images.amazon.com/images/P/0743407067.01.LZZZZZZZ.jpg
Out of Sight,T. J. MacGregor,2002,0,http://images.amazon.com/images/P/0786013230.01.LZZZZZZZ.jpg
Restaurant At the End of the Universe,Douglas Adams,0,10,http://images.amazon.com/images/P/0330262130.01.LZZZZZZZ.jpg
Choke,CHUCK PALAHNIUK,2002,10,http://images.amazon.com/images/P/0385720920.01.LZZZZZZZ.jpg
Invisible Monsters,Chuck Palahniuk,1999,0,http://images.amazon.com/images/P/0393319296.01.LZZZZZZZ.jpg
"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,7,http://images.amazon.com/images/P/0553262505.01.LZZZZZZZ.jpg
Fight Club,Chuck Palahniuk,1999,0,http://images.amazon.com/images/P/0805062971.01.LZZZZZZZ.jpg
Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,0,http://images.amazon.com/images/P/3257228007.01.LZZZZZZZ.jpg
About a Boy (Movie Tie-In),Nick Hornby,2002,9,http://images.amazon.com/images/P/1573229571.01.LZZZZZZZ.jpg
Hannibal,Thomas Harris,0,8,http://images.amazon.com/images/P/0434009407.01.LZZZZZZZ.jpg
"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,7,http://images.amazon.com/images/P/0064407667.01.LZZZZZZZ.jpg
Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,10,http://images.amazon.com/images/P/081297106X.01.LZZZZZZZ.jpg
Red Rabbit,Tom Clancy,2003,5,http://images.amazon.com/images/P/0425191184.01.LZZZZZZZ.jpg
The Summons,John Grisham,2002,0,http://images.amazon.com/images/P/0385503822.01.LZZZZZZZ.jpg
Mortal Prey,John Sandford,2003,9,http://images.amazon.com/images/P/0425189864.01.LZZZZZZZ.jpg
Writ of Execution,Perri O'Shaughnessy,2002,9,http://images.amazon.com/images/P/0440236053.01.LZZZZZZZ.jpg
Reap the Wind,Iris Johansen,2002,5,http://images.amazon.com/images/P/0553586122.01.LZZZZZZZ.jpg
Pandora's Clock,John J. Nance,1996,8,http://images.amazon.com/images/P/0312960344.01.LZZZZZZZ.jpg
Fahrenheit 451,RAY BRADBURY,1987,9,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg
The Vagina Monologues: The V-Day Edition,Eve Ensler,2000,0,http://images.amazon.com/images/P/0375756981.01.LZZZZZZZ.jpg
Coast Road: A Novel,Barbara Delinsky,1999,0,http://images.amazon.com/images/P/0671027662.01.LZZZZZZZ.jpg
Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999,8,http://images.amazon.com/images/P/0767903382.01.LZZZZZZZ.jpg
The Return,Buzz Aldrin,2000,0,http://images.amazon.com/images/P/0312874243.01.LZZZZZZZ.jpg
Angels Flight (Detective Harry Bosch Mysteries),Michael Connelly,1999,0,http://images.amazon.com/images/P/0316152196.01.LZZZZZZZ.jpg
City of Bones,Michael Connelly,2002,5,http://images.amazon.com/images/P/0316154059.01.LZZZZZZZ.jpg
Day of Confession,Allan Folsom,1998,0,http://images.amazon.com/images/P/0316287555.01.LZZZZZZZ.jpg
Flesh and Blood,Jonathan Kellerman,2002,0,http://images.amazon.com/images/P/034541389X.01.LZZZZZZZ.jpg
A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,7,http://images.amazon.com/images/P/0345452550.01.LZZZZZZZ.jpg
Saving Faith,DAVID BALDACCI,2000,5,http://images.amazon.com/images/P/0375727981.01.LZZZZZZZ.jpg
The Devil's Code,John Sandford,2000,7,http://images.amazon.com/images/P/0399146504.01.LZZZZZZZ.jpg
I Is for Innocent,Sue Grafton,1994,0,http://images.amazon.com/images/P/0449221512.01.LZZZZZZZ.jpg
Back Roads,Tawni O'Dell,2000,0,http://images.amazon.com/images/P/0670894184.01.LZZZZZZZ.jpg
The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999,7,http://images.amazon.com/images/P/0671024094.01.LZZZZZZZ.jpg
Silent Witness,Richard North Patterson,1997,6,http://images.amazon.com/images/P/0679450408.01.LZZZZZZZ.jpg
Angels &amp; Demons,Dan Brown,2003,7,http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg
Black Notice,Patricia Daniels Cornwell,2000,0,http://images.amazon.com/images/P/0425175405.01.LZZZZZZZ.jpg
The Street Lawyer,JOHN GRISHAM,1999,0,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
The Bourne Supremacy,Robert Ludlum,1987,0,http://images.amazon.com/images/P/0553263226.01.LZZZZZZZ.jpg
Bag of Bones,Stephen King,1999,0,http://images.amazon.com/images/P/067102423X.01.LZZZZZZZ.jpg
The Green Mile,Stephen King,1999,4,http://images.amazon.com/images/P/0671032658.01.LZZZZZZZ.jpg
Big Trouble,Dave Barry,2001,0,http://images.amazon.com/images/P/0425178102.01.LZZZZZZZ.jpg
Cradle and All,James Patterson,2001,0,http://images.amazon.com/images/P/0446609404.01.LZZZZZZZ.jpg
1st to Die: A Novel,James Patterson,2002,0,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
Over the Edge,Jonathan Kellerman,1993,0,http://images.amazon.com/images/P/0451178017.01.LZZZZZZZ.jpg
Silent Partner (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1990,9,http://images.amazon.com/images/P/0553285920.01.LZZZZZZZ.jpg
Sleepers,Lorenzo Carcaterra,1996,0,http://images.amazon.com/images/P/0345404114.01.LZZZZZZZ.jpg
The Hot Zone,Richard Preston,1995,0,http://images.amazon.com/images/P/0385479565.01.LZZZZZZZ.jpg
The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1991,8,http://images.amazon.com/images/P/0449213730.01.LZZZZZZZ.jpg
Night over Water,Ken Follett,1992,7,http://images.amazon.com/images/P/0451173139.01.LZZZZZZZ.jpg
Private Eyes (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1992,0,http://images.amazon.com/images/P/0553299506.01.LZZZZZZZ.jpg
A Man in Full,Tom Wolfe,1999,9,http://images.amazon.com/images/P/0553580930.01.LZZZZZZZ.jpg
Object Lessons,Anna Quindlen,1992,8,http://images.amazon.com/images/P/080410946X.01.LZZZZZZZ.jpg
The Bonesetter's Daughter,Amy Tan,2002,0,http://images.amazon.com/images/P/0804114986.01.LZZZZZZZ.jpg
Holes (Yearling Newbery),LOUIS SACHAR,2000,10,http://images.amazon.com/images/P/0440414806.01.LZZZZZZZ.jpg
Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000,0,http://images.amazon.com/images/P/0440224705.01.LZZZZZZZ.jpg
The Cat Who Came to Breakfast,Lilian Jackson Braun,1995,0,http://images.amazon.com/images/P/0515115649.01.LZZZZZZZ.jpg
The Cat Who Robbed a Bank (Cat Who... (Paperback)),Lilian Jackson Braun,2001,0,http://images.amazon.com/images/P/0515129941.01.LZZZZZZZ.jpg
The Girl Who Loved Tom Gordon,Stephen King,2000,0,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg
The English Patient,Michael Ondaatje,1996,9,http://images.amazon.com/images/P/0679745203.01.LZZZZZZZ.jpg
Code to Zero,Ken Follett,2000,4,http://images.amazon.com/images/P/0525945636.01.LZZZZZZZ.jpg
I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,10,http://images.amazon.com/images/P/0060391626.01.LZZZZZZZ.jpg
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,0,http://images.amazon.com/images/P/0060502258.01.LZZZZZZZ.jpg
I Know This Much Is True,Wally Lamb,1999,0,http://images.amazon.com/images/P/0060987561.01.LZZZZZZZ.jpg
Fortune's Rocks : A Novel,Anita Shreve,2002,0,http://images.amazon.com/images/P/0316734837.01.LZZZZZZZ.jpg
Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001,0,http://images.amazon.com/images/P/0345413881.01.LZZZZZZZ.jpg
Lying Awake,Mark Salzman,2000,0,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg
Stargirl,JERRY SPINELLI,2002,0,http://images.amazon.com/images/P/037582233X.01.LZZZZZZZ.jpg
The Blind Assassin,Margaret Atwood,2000,0,http://images.amazon.com/images/P/0385475721.01.LZZZZZZZ.jpg
The Sisterhood of the Traveling Pants,Ann Brashares,2001,0,http://images.amazon.com/images/P/0385729332.01.LZZZZZZZ.jpg
Conversations with God : An Uncommon Dialogue (Book 1),Neale Donald Walsch,1996,0,http://images.amazon.com/images/P/0399142789.01.LZZZZZZZ.jpg
Breathing Lessons,Anne Tyler,1994,0,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg
The Brethren,John Grisham,2000,0,http://images.amazon.com/images/P/0440236673.01.LZZZZZZZ.jpg
Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,0,http://images.amazon.com/images/P/0446604801.01.LZZZZZZZ.jpg
Cat &amp; Mouse (Alex Cross Novels),James Patterson,1998,0,http://images.amazon.com/images/P/0446606189.01.LZZZZZZZ.jpg
The Midnight Club,James Patterson,1999,0,http://images.amazon.com/images/P/0446606383.01.LZZZZZZZ.jpg
Black Friday,James Patterson,1989,0,http://images.amazon.com/images/P/0446609323.01.LZZZZZZZ.jpg
Dances With Wolves,Michael Blake,1990,0,http://images.amazon.com/images/P/0449134482.01.LZZZZZZZ.jpg
A Pirate Looks at Fifty,Jimmy Buffett,1999,0,http://images.amazon.com/images/P/0449223345.01.LZZZZZZZ.jpg
The Prince of Tides,Pat Conroy,1987,0,http://images.amazon.com/images/P/0553268880.01.LZZZZZZZ.jpg
Into the Forest,JEAN HEGLAND,1998,10,http://images.amazon.com/images/P/0553379615.01.LZZZZZZZ.jpg
The Alienist,Caleb Carr,1995,0,http://images.amazon.com/images/P/0553572997.01.LZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club),Wally Lamb,1998,10,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg
SHIPPING NEWS,Annie Proulx,1994,0,http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg
Color Purple,Alice Walker,1987,10,http://images.amazon.com/images/P/0671647458.01.LZZZZZZZ.jpg
Dr. Death: A Novel,Jonathan Kellerman,2000,0,http://images.amazon.com/images/P/0679459618.01.LZZZZZZZ.jpg
"Girl, Interrupted",SUSANNA KAYSEN,1994,0,http://images.amazon.com/images/P/0679746048.01.LZZZZZZZ.jpg
ONE DAY MY SOUL JUST OPENED UP : 40 DAYS AND 40 NIGHTS TOWARD SPIRITUAL STRENGTH AND PERSONAL GROWTH,Iyanla Vanzant,1998,0,http://images.amazon.com/images/P/0684841347.01.LZZZZZZZ.jpg
Kitchen,Banana Yoshimoto,1993,0,http://images.amazon.com/images/P/0802115160.01.LZZZZZZZ.jpg
Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues,Nick Bantock,1992,0,http://images.amazon.com/images/P/0811801802.01.LZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,0,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg
High Maintenance,Jennifer Belle,2001,10,http://images.amazon.com/images/P/1573221856.01.LZZZZZZZ.jpg
The Beach House,James Patterson,2002,8,http://images.amazon.com/images/P/0316969680.01.LZZZZZZZ.jpg
White Teeth: A Novel,Zadie Smith,2001,7,http://images.amazon.com/images/P/0375703861.01.LZZZZZZZ.jpg
Daddy's Little Girl,Mary Higgins Clark,2002,0,http://images.amazon.com/images/P/0743206045.01.LZZZZZZZ.jpg
Mount Vernon Love Story : A Novel of George and Martha Washington,Mary Higgins Clark,2002,6,http://images.amazon.com/images/P/0743229878.01.LZZZZZZZ.jpg
The Indian in the Cupboard,Lynne Reid Banks,1999,0,http://images.amazon.com/images/P/0380600129.01.LZZZZZZZ.jpg
The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,1999,0,http://images.amazon.com/images/P/0380702843.01.LZZZZZZZ.jpg
The Cat in the Hat,Dr. Seuss,1957,9,http://images.amazon.com/images/P/039480001X.01.LZZZZZZZ.jpg
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1988,7,http://images.amazon.com/images/P/0671664964.01.LZZZZZZZ.jpg
The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,7,http://images.amazon.com/images/P/0312282990.01.LZZZZZZZ.jpg
Balzac and the Little Chinese Seamstress,Dai Sijie,2001,7,http://images.amazon.com/images/P/037541309X.01.LZZZZZZZ.jpg
The Education of Little Tree (A Zia Book),Forrest Carter,1986,5,http://images.amazon.com/images/P/0826308791.01.LZZZZZZZ.jpg
The Stone Diaries,Carol Shields,1995,0,http://images.amazon.com/images/P/014023313X.01.LZZZZZZZ.jpg
Girl in Hyacinth Blue,Susan Vreeland,2000,6,http://images.amazon.com/images/P/014029628X.01.LZZZZZZZ.jpg
The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,7,http://images.amazon.com/images/P/038550926X.01.LZZZZZZZ.jpg
Nightshade,John Saul,2001,8,http://images.amazon.com/images/P/0449005909.01.LZZZZZZZ.jpg
While I Was Gone,Sue Miller,1999,0,http://images.amazon.com/images/P/0345443284.01.LZZZZZZZ.jpg
The Voice of the Night,Dean R. Koontz,1996,0,http://images.amazon.com/images/P/0425128164.01.LZZZZZZZ.jpg
Ironweed,William Kennedy,1982,0,http://images.amazon.com/images/P/0670401765.01.LZZZZZZZ.jpg
The Pilot's Wife : A Novel,Anita Shreve,1999,0,http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg
Girl with a Pearl Earring,Tracy Chevalier,2001,10,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999,8,http://images.amazon.com/images/P/0345422384.01.LZZZZZZZ.jpg
Chocolat,Joanne Harris,2000,0,http://images.amazon.com/images/P/0552998486.01.LZZZZZZZ.jpg
From Potter's Field,Patricia Daniels Cornwell,1996,0,http://images.amazon.com/images/P/0425154092.01.LZZZZZZZ.jpg
Track of the Cat (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1994,4,http://images.amazon.com/images/P/0380721643.01.LZZZZZZZ.jpg
Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,8,http://images.amazon.com/images/P/0060173289.01.LZZZZZZZ.jpg
Little Altars Everywhere: A Novel,Rebecca Wells,1996,5,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
The Left Hand of Darkness (Remembering Tomorrow),Ursula K. Le Guin,1991,0,http://images.amazon.com/images/P/0441478123.01.LZZZZZZZ.jpg
On the Street Where You Live,Mary Higgins Clark,0,8,http://images.amazon.com/images/P/0739417096.01.LZZZZZZZ.jpg
Lost,Gregory Maguire,2001,1,http://images.amazon.com/images/P/0060393823.01.LZZZZZZZ.jpg
Life of Pi,Yann Martel,2003,8,http://images.amazon.com/images/P/0156027321.01.LZZZZZZZ.jpg
The Perfect Husband,LISA GARDNER,1997,5,http://images.amazon.com/images/P/0553576801.01.LZZZZZZZ.jpg
The Sigma Protocol,Robert Ludlum,2001,10,http://images.amazon.com/images/P/0312276885.01.LZZZZZZZ.jpg
Brideshead Revisited,Evelyn Waugh,0,0,http://images.amazon.com/images/P/0140008217.01.LZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),Anita Diamant,1998,7,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994,0,http://images.amazon.com/images/P/0385474016.01.LZZZZZZZ.jpg
Name of the Rose-Nla,Umberto Eco,1984,0,http://images.amazon.com/images/P/0446322180.01.LZZZZZZZ.jpg
A Walk to Remember,Nicholas Sparks,2000,4,http://images.amazon.com/images/P/0446608955.01.LZZZZZZZ.jpg
Thinner,Stephen King,1985,0,http://images.amazon.com/images/P/0451137965.01.LZZZZZZZ.jpg
I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,0,http://images.amazon.com/images/P/0553279378.01.LZZZZZZZ.jpg
Bridget Jones : The Edge of Reason,Helen Fielding,2000,7,http://images.amazon.com/images/P/0670892963.01.LZZZZZZZ.jpg
The Passion of Artemisia,Susan Vreeland,2002,0,http://images.amazon.com/images/P/0670894494.01.LZZZZZZZ.jpg
Fatal Voyage,Kathy Reichs,2002,0,http://images.amazon.com/images/P/0671028375.01.LZZZZZZZ.jpg
The Temple of My Familiar,Alice Walker,1990,0,http://images.amazon.com/images/P/0671683993.01.LZZZZZZZ.jpg
